,Mean,Stddev,Median
0,1.5528859,0.24573469,1.4949613
1,1.5527366,0.24503656,1.497935
2,1.5589831,0.24671279,1.5014862
3,1.5634315,0.24628665,1.5070863
4,1.566281,0.24804498,1.5083778
5,1.5661508,0.24861151,1.5087249
6,1.5688411,0.24513812,1.5134444
7,1.5894189,0.57972115,1.5195335
8,1.5780239,0.24731788,1.5210547
9,1.5819094,0.2483206,1.5239525
10,1.5834273,0.24760614,1.5257215
11,1.6040812,0.5409239,1.5300335
12,1.5936011,0.24866949,1.5356131
13,1.5978398,0.2509288,1.5385896
14,1.6024045,0.25037792,1.5434911
15,1.6050239,0.2522369,1.544693
16,1.6083837,0.25297776,1.5498954
17,1.6115779,0.25264668,1.5514047
18,1.6128963,0.25029576,1.5561612
19,1.6157938,0.25063452,1.5594678
20,1.6197637,0.25264996,1.5600305
21,1.6222194,0.25364074,1.5624608
22,1.620142,0.25063384,1.5632974
23,1.6192325,0.2469897,1.565851
24,1.6203356,0.24709344,1.5648494
25,1.6215463,0.24726792,1.564493
26,1.6432911,0.5333312,1.5697618
27,1.6281772,0.24972707,1.5708034
28,1.627748,0.2483854,1.5704237
29,1.6309148,0.24946712,1.5707715
30,1.6282254,0.24865818,1.5660868
31,1.6382407,0.40367857,1.5701082
32,1.6304046,0.24892212,1.574357
33,1.6276073,0.24681005,1.571317
34,1.6289314,0.24876043,1.5734252
35,1.6284986,0.24869174,1.5701606
36,1.6427509,0.5687538,1.5718656
37,1.6279525,0.24897604,1.5713739
38,1.6253263,0.24971698,1.5688272
39,1.639597,0.5343677,1.5675955
40,1.6239203,0.24963856,1.5678374
41,1.6229447,0.24973488,1.5690126
42,1.6201422,0.24894115,1.5656276
43,1.617811,0.2483869,1.5662663
44,1.6200256,0.33329594,1.5653836
45,1.6112627,0.24489124,1.5612943
46,1.6110625,0.2481053,1.5578024
47,1.6097006,0.24740908,1.5577286
48,1.6059002,0.24698694,1.5517111
49,1.6047895,0.24614567,1.5530945
50,1.6110736,0.44890937,1.5487134
51,1.5986063,0.24551907,1.5455798
52,1.5956652,0.24529524,1.5417836
53,1.5952411,0.2446902,1.5428405
54,1.593598,0.2445274,1.538722
55,1.5901725,0.2439242,1.5356834
56,1.5875324,0.2418049,1.5349386
57,1.590549,0.24342617,1.5398457
58,1.5887765,0.2428358,1.5393783
59,1.5894864,0.24311477,1.5380311
60,1.5878843,0.243046,1.5364755
61,1.5892247,0.24384423,1.5363994
62,1.588967,0.24240713,1.5359616
63,1.5873528,0.24270606,1.5348635
64,1.5878588,0.241059,1.5364738
65,1.5927324,0.24266261,1.5403802
66,1.5927263,0.24100633,1.5413555
67,1.5936483,0.24362889,1.5373051
68,1.5965875,0.24240217,1.5429547
69,1.5962354,0.24287051,1.5430555
70,1.6002196,0.24473955,1.5460126
71,1.5981935,0.2444469,1.5425379
72,1.6038561,0.24543661,1.5518625
73,1.604983,0.2445066,1.5517735
74,1.604668,0.24454227,1.5525024
75,1.6094112,0.24712603,1.5542274
76,1.6098839,0.24547493,1.5537436
77,1.6124377,0.24700591,1.5566727
78,1.6157676,0.24663903,1.5610206
79,1.6155304,0.24680255,1.5600425
80,1.6171654,0.2449723,1.5619726
81,1.6185945,0.2429025,1.5615994
82,1.6221045,0.2436243,1.5673524
83,1.6223853,0.24369147,1.5698841
84,1.6264132,0.24423888,1.5755811
85,1.6248376,0.24220638,1.5741001
86,1.6249121,0.24233174,1.5702056
87,1.6248311,0.2427297,1.5727806
88,1.6286447,0.24377891,1.5778773
89,1.6276712,0.2459142,1.5713772
90,1.6287695,0.24642052,1.5744182
91,1.6295161,0.24546424,1.576256
92,1.6346315,0.24786341,1.5819234
93,1.6292777,0.24699105,1.5741105
94,1.6321578,0.2489455,1.5783514
95,1.633642,0.2482049,1.5810091
96,1.6314132,0.24799468,1.5774605
97,1.6320418,0.2502708,1.576586
98,1.6328125,0.25081888,1.576886
99,1.6328175,0.2520037,1.5769361
100,1.632589,0.25292712,1.5762076
101,1.6267197,0.24899632,1.570331
102,1.628862,0.25208268,1.5758524
103,1.6297154,0.25177047,1.5767595
104,1.6246269,0.25209948,1.5685112
105,1.621981,0.25205398,1.5679829
106,1.6175253,0.25047317,1.5639437
107,1.6160636,0.25282916,1.5613604
108,1.6129143,0.25209525,1.5574614
109,1.6030456,0.24747609,1.5541723
110,1.5978879,0.24392232,1.5515451
111,1.5948408,0.24447472,1.5490258
112,1.5929203,0.24437797,1.5477372
113,1.5893492,0.24415821,1.5406778
114,1.5893635,0.24572104,1.5377693
115,1.5839254,0.24358648,1.5362289
116,1.5923438,0.36563954,1.5381354
117,1.5780189,0.24169926,1.531398
118,1.5754873,0.24240756,1.5293472
119,1.5737047,0.2421096,1.5271271
120,1.5749305,0.24349819,1.528724
121,1.5709918,0.24126874,1.5242509
122,1.5710957,0.24505408,1.5244832
123,1.5690142,0.24449429,1.5238022
124,1.5688757,0.24469008,1.5203934
125,1.5696502,0.24609363,1.5243855
126,1.572268,0.245614,1.5284178
127,1.5674636,0.24329346,1.5244586
128,1.5655543,0.24464832,1.5211257
129,1.567241,0.24609719,1.5202847
130,1.569499,0.2477408,1.5252599
131,1.569323,0.24810119,1.5251397
132,1.5688188,0.24769919,1.5257926
133,1.56755,0.24870642,1.5241226
134,1.5657253,0.24704409,1.5240506
135,1.563751,0.24666286,1.521565
136,1.5637466,0.24606913,1.5227658
137,1.5658154,0.24684662,1.5260911
138,1.559663,0.26680285,1.519563
139,1.5839996,0.4453047,1.5255306
140,1.5674125,0.33982778,1.5185937
141,1.5556744,0.24062367,1.5171185
142,1.5579097,0.24335274,1.5169089
143,1.5546964,0.2433081,1.5158148
144,1.5556352,0.24314448,1.5163815
145,1.5560508,0.24215777,1.5167117
146,1.5531814,0.24158975,1.5168718
147,1.5520182,0.2417085,1.5122901
148,1.5497986,0.24143703,1.5086653
149,1.5549226,0.24616021,1.5177089
150,1.5631696,0.29822695,1.5164518
151,1.5595387,0.2812868,1.5171599
152,1.5509,0.24388221,1.510889
153,1.5496415,0.24535388,1.5085125
154,1.5471189,0.24537359,1.5083607
155,1.5433809,0.24472547,1.5024087
156,1.5426965,0.24492714,1.4999951
157,1.5384012,0.24500212,1.4961238
158,1.541365,0.24580787,1.4992346
159,1.5367106,0.24556558,1.4945846
160,1.5332444,0.24447499,1.4896815
161,1.5344173,0.24580304,1.4923407
162,1.5308304,0.245103,1.4872055
163,1.5301933,0.24501063,1.4866134
164,1.5270883,0.24332419,1.4853332
165,1.52489,0.24230865,1.4846482
166,1.5241175,0.24120781,1.4825344
167,1.5220896,0.239184,1.4808438
168,1.5191312,0.23792025,1.4789593
169,1.5217104,0.23896801,1.4819074
170,1.5220939,0.23960772,1.4804615
171,1.5213624,0.23833826,1.482234
172,1.5241597,0.23979639,1.4848967
173,1.5216786,0.23691943,1.4814138
174,1.5225385,0.23784018,1.4841666
175,1.5261772,0.23935987,1.4872551
176,1.5247568,0.23934403,1.4873865
177,1.5245496,0.23865925,1.484443
178,1.5263987,0.24117024,1.4840206
179,1.526197,0.24051516,1.4842209
180,1.5297371,0.24053563,1.488916
181,1.5286978,0.24188109,1.4854155
182,1.5287771,0.24235009,1.4837102
183,1.5328887,0.2440472,1.4887543
184,1.5362893,0.24520063,1.4906132
185,1.5382911,0.25069714,1.4914621
186,1.5377539,0.2520355,1.4887561
187,1.54016,0.25685456,1.4924002
188,1.5424302,0.26013514,1.4924781
189,1.5398321,0.2564893,1.4906185
190,1.5412697,0.2542094,1.4937977
191,1.5418369,0.2555774,1.4923781
192,1.540435,0.25170618,1.492384
193,1.5430037,0.25310215,1.4971406
194,1.5432751,0.25035906,1.498533
195,1.5415767,0.24991281,1.4961779
196,1.5437219,0.24800543,1.50034
197,1.5389235,0.24408479,1.4972261
198,1.5388072,0.24279875,1.4965814
199,1.5381993,0.24249497,1.4963201
200,1.5402166,0.24261671,1.4984906
201,1.5409008,0.24081624,1.4991465
202,1.5412084,0.24156664,1.499576
203,1.5391254,0.24173547,1.4942375
204,1.538904,0.24068214,1.4955144
205,1.5416942,0.24108675,1.4991131
206,1.5410124,0.24242023,1.497178
207,1.5440412,0.24414746,1.4988551
208,1.5447245,0.24251582,1.5000713
209,1.547773,0.24309322,1.5041552
210,1.547494,0.24387233,1.5014416
211,1.548351,0.24104941,1.5045736
212,1.549611,0.24009657,1.5096083
213,1.5521171,0.24067673,1.5083867
214,1.5534685,0.23983775,1.5091238
215,1.5557327,0.23999864,1.5104883
216,1.5600266,0.24024865,1.5171251
217,1.5591255,0.23952599,1.5159736
218,1.5630249,0.23951444,1.5195405
219,1.564446,0.23958996,1.5212603
220,1.5660927,0.23977278,1.521302
221,1.5685668,0.23993427,1.5247644
222,1.5723535,0.24064869,1.5296252
223,1.5735295,0.23925714,1.5307682
224,1.5784775,0.2382689,1.5368167
225,1.5817615,0.23919679,1.53889
226,1.581711,0.23937717,1.5367439
227,1.5873293,0.23832466,1.5437661
228,1.5881169,0.23787166,1.5432211
229,1.5955664,0.23826437,1.5487975
230,1.597797,0.23586585,1.5529989
231,1.600027,0.23703419,1.5536833
232,1.6017616,0.23682088,1.5550637
233,1.6057361,0.23649207,1.5598791
234,1.609188,0.23668809,1.559962
235,1.6103088,0.23549101,1.5636141
236,1.6142344,0.23647416,1.5650241
237,1.6163872,0.23772302,1.5648744
238,1.6233503,0.2382474,1.5748484
239,1.6269276,0.2381884,1.5785036
240,1.6297662,0.24004205,1.5776902
241,1.6323056,0.23895209,1.5819491
242,1.6364937,0.2406779,1.5856814
243,1.6412979,0.24195474,1.5922974
244,1.6481175,0.24475792,1.5972022
245,1.648227,0.24513754,1.5978582
246,1.6509117,0.24488872,1.5983508
247,1.6554906,0.24565886,1.605597
248,1.6596458,0.24619022,1.6087633
249,1.6633956,0.24475546,1.6115977
250,1.6649914,0.24607009,1.6121705
251,1.6691452,0.24611245,1.6227484
252,1.6708655,0.2461913,1.6229788
253,1.676453,0.24684615,1.6283544
254,1.6770431,0.24475083,1.6310406
255,1.6852866,0.24673729,1.6407152
256,1.6878976,0.24770854,1.6434678
257,1.6889025,0.24588437,1.6449866
258,1.6929752,0.24506953,1.6526763
259,1.6941829,0.2428562,1.6596234
260,1.6986345,0.24135228,1.6687688
261,1.7019215,0.24177471,1.6767389
262,1.7052573,0.24271873,1.6793045
263,1.7109976,0.24445313,1.687362
264,1.7114154,0.24186504,1.6864362
265,1.7119029,0.24111985,1.6881068
266,1.7138996,0.23880109,1.6942406
267,1.7165548,0.24002343,1.6957966
268,1.7224404,0.23833756,1.7092142
269,1.7215439,0.23769185,1.704962
270,1.7266339,0.2354976,1.7162495
271,1.7304956,0.23645855,1.719084
272,1.7326136,0.23581438,1.7219809
273,1.7323313,0.23507552,1.7226894
274,1.7374966,0.23350923,1.7304268
275,1.7377164,0.23473282,1.7290648
276,1.7404511,0.23307413,1.734179
277,1.7428002,0.23329389,1.7361957
278,1.7466124,0.22978537,1.7450888
279,1.7514992,0.23102045,1.751424
280,1.7532579,0.23149839,1.7516694
281,1.7518314,0.22917373,1.747303
282,1.7526156,0.22740674,1.7469585
283,1.7555797,0.22612177,1.7486286
284,1.7590669,0.22492974,1.7587706
285,1.7575868,0.22223961,1.7546909
286,1.7579889,0.22265947,1.7536341
287,1.7585214,0.21924274,1.7573073
288,1.761153,0.2203082,1.753897
289,1.7612801,0.21938536,1.7558206
290,1.7636912,0.21661267,1.7602031
291,1.7647104,0.21787469,1.7614312
292,1.7672672,0.21654351,1.7623527
293,1.7670376,0.21362749,1.7631383
294,1.7671076,0.21349482,1.7620733
295,1.7686256,0.2106932,1.769784
296,1.7668128,0.20838752,1.7639768
297,1.7696269,0.20964628,1.765744
298,1.7754455,0.20746924,1.7746935
299,1.7767098,0.20610125,1.7757678
300,1.7767082,0.2052255,1.7728423
